school,sex,age,address,attendence,marks,Fedu,Mjob,Fjob,guardian,failures,schoolsup,paid,activities,nursery,higher,goout
GP,F,15,U,A,4,3,other,other,mother,0,yes,yes,yes,yes,yes,2
GP,F,16,U,A,4,3,other,services,mother,0,no,no,no,yes,yes,5
GP,M,16,U,T,4,3,health,services,mother,0,no,no,yes,yes,yes,2
GP,M,15,U,T,4,2,teacher,other,mother,0,no,yes,no,yes,yes,3
GP,F,15,U,T,4,4,services,teacher,father,1,yes,no,yes,no,yes,4
GP,F,16,U,T,4,2,services,services,mother,0,no,yes,no,yes,yes,3
GP,F,15,U,T,4,2,health,other,mother,0,no,yes,no,yes,yes,3
GP,M,15,U,A,4,2,health,health,father,1,no,no,no,yes,yes,5
GP,F,15,U,T,4,4,services,services,mother,0,yes,yes,no,yes,yes,4
GP,F,15,U,A,4,3,other,other,mother,0,no,yes,no,yes,yes,4
GP,F,16,U,A,4,1,other,other,mother,0,no,yes,yes,yes,yes,4
GP,F,15,U,A,4,3,services,services,mother,0,no,yes,yes,yes,yes,2
GP,M,15,U,T,4,4,teacher,health,mother,0,no,no,yes,yes,yes,2
GP,M,15,U,T,4,2,other,at_home,father,0,yes,no,yes,yes,yes,2
GP,F,16,U,T,4,2,services,other,mother,0,no,no,no,yes,yes,3
GP,F,16,R,T,4,4,health,teacher,mother,0,no,no,yes,yes,yes,4
GP,F,16,U,T,4,1,services,services,father,0,yes,no,yes,no,yes,5
GP,F,16,U,T,4,2,other,services,father,0,yes,no,yes,yes,yes,3
GP,F,16,U,T,4,3,teacher,health,mother,0,yes,yes,yes,yes,yes,4
GP,F,15,U,T,4,3,services,services,father,0,yes,no,yes,yes,yes,4
GP,F,16,U,T,4,3,teacher,services,mother,0,no,no,yes,yes,yes,3
GP,M,15,U,A,4,4,other,services,mother,0,no,no,yes,no,yes,3
GP,F,16,U,T,4,1,services,other,mother,0,yes,yes,no,yes,yes,3
GP,F,15,R,T,4,2,health,services,mother,0,yes,yes,no,yes,yes,3
GP,F,15,R,T,4,1,other,other,father,0,no,no,no,no,yes,2
GP,M,16,U,T,4,1,other,other,father,0,no,yes,no,yes,yes,2
GP,M,15,U,T,4,2,other,other,mother,0,no,no,no,yes,yes,3
GP,F,15,R,T,4,1,other,other,mother,2,yes,no,no,no,yes,4
GP,M,16,U,T,4,1,other,other,mother,0,no,no,yes,yes,yes,2
GP,F,16,U,T,4,3,other,services,mother,0,yes,yes,yes,yes,yes,3
GP,M,15,U,T,4,3,teacher,other,mother,0,no,yes,yes,yes,yes,3
GP,M,15,U,T,4,0,teacher,other,mother,0,no,no,yes,yes,yes,3
GP,F,16,U,T,4,2,other,other,mother,0,no,yes,no,yes,yes,3
GP,M,17,U,T,4,1,other,other,mother,3,yes,no,yes,yes,no,1
GP,F,16,U,T,4,4,at_home,other,mother,0,no,no,no,yes,yes,3
GP,M,15,U,T,4,3,other,services,father,0,yes,yes,yes,no,yes,2
GP,M,15,U,T,4,3,other,other,mother,0,yes,yes,no,no,yes,2
GP,F,15,U,T,4,2,services,other,mother,0,no,yes,no,yes,yes,4
GP,M,15,U,T,4,2,services,services,mother,0,no,yes,yes,yes,yes,3
GP,F,15,U,T,4,1,other,other,father,0,no,no,yes,no,yes,2
GP,F,15,U,T,4,4,services,services,father,2,no,yes,no,yes,yes,4
GP,F,16,U,T,4,2,at_home,other,mother,0,no,no,no,yes,yes,4
GP,F,15,U,T,4,2,other,other,mother,0,no,no,yes,yes,yes,3
GP,M,16,U,T,4,2,services,other,father,1,no,yes,yes,no,yes,2
GP,M,16,U,A,4,4,teacher,health,mother,0,no,no,no,yes,yes,3
GP,F,16,U,T,4,3,other,other,mother,0,no,yes,no,yes,yes,3
GP,F,15,U,T,4,3,services,other,mother,0,no,yes,yes,yes,yes,5
GP,F,16,U,T,4,1,other,other,father,0,yes,no,no,yes,yes,3
GP,F,16,U,T,4,2,teacher,services,mother,0,no,yes,yes,yes,yes,3
GP,M,15,U,T,4,2,services,health,mother,0,no,no,yes,yes,yes,4
GP,F,15,R,T,4,1,at_home,other,mother,1,yes,yes,yes,yes,yes,2
GP,M,16,R,T,4,3,services,other,mother,0,yes,no,yes,no,yes,3
GP,F,16,U,T,4,1,other,other,mother,0,no,yes,no,yes,yes,5
GP,F,16,U,T,4,4,other,other,mother,0,no,no,yes,no,yes,4
GP,F,16,U,T,4,3,other,at_home,mother,0,yes,yes,no,yes,yes,5
GP,M,16,U,T,4,4,services,services,mother,0,yes,yes,yes,yes,yes,5
GP,M,16,U,T,4,4,services,teacher,father,0,no,no,yes,yes,yes,3
GP,M,15,U,T,4,4,services,other,mother,0,no,no,yes,no,yes,3
GP,F,15,U,T,4,2,services,other,mother,0,yes,yes,no,yes,yes,5
GP,M,15,U,A,4,4,services,other,mother,0,no,yes,yes,yes,yes,4
GP,F,15,U,A,4,3,other,health,father,0,yes,no,no,yes,yes,3
GP,F,15,U,T,4,2,other,other,mother,0,yes,yes,no,yes,yes,2
GP,M,16,U,T,4,3,services,other,father,0,no,no,yes,yes,yes,3
GP,M,15,R,T,4,4,other,other,father,0,no,yes,yes,yes,yes,5
GP,F,16,U,T,4,4,health,health,mother,0,no,yes,yes,yes,yes,5
GP,M,15,U,A,4,4,teacher,teacher,mother,0,no,no,yes,yes,yes,3
GP,F,16,R,T,4,3,services,other,father,1,yes,no,yes,yes,yes,2
GP,F,16,U,T,4,2,at_home,other,mother,1,yes,no,yes,yes,yes,2
GP,M,15,U,T,4,2,teacher,other,mother,0,no,no,no,yes,yes,2
GP,M,15,R,T,4,1,health,services,mother,0,no,no,yes,yes,yes,2
GP,M,16,U,T,4,4,teacher,teacher,father,0,no,no,yes,yes,yes,4
GP,M,15,U,T,4,4,other,teacher,father,0,no,no,yes,yes,yes,3
GP,M,16,U,T,4,3,other,services,father,0,no,no,yes,yes,yes,2
GP,M,17,R,T,4,3,other,other,father,1,no,no,yes,yes,yes,4
GP,M,15,U,T,4,4,other,other,father,0,no,no,no,yes,yes,3
GP,F,15,U,T,4,2,at_home,services,mother,0,no,no,no,no,yes,3
GP,M,15,U,T,4,2,services,services,father,0,no,yes,yes,yes,yes,4
GP,F,16,U,T,4,4,other,health,father,0,no,yes,yes,yes,yes,2
GP,M,16,U,T,4,4,health,other,mother,0,no,no,yes,yes,yes,4
GP,F,16,U,T,4,2,other,other,mother,0,no,yes,no,yes,yes,4
GP,M,15,U,T,4,4,services,services,father,0,yes,no,no,yes,yes,5
GP,F,15,U,A,4,4,other,other,mother,0,yes,no,yes,yes,yes,2
GP,F,19,U,T,4,1,at_home,other,other,3,no,no,no,no,no,2
GP,M,18,R,T,4,2,services,other,mother,2,no,no,yes,yes,yes,3
GP,M,16,R,T,4,4,teacher,teacher,mother,0,no,yes,yes,yes,yes,5
GP,F,15,R,T,4,4,services,teacher,father,2,no,no,no,yes,yes,2
GP,F,15,U,T,4,1,at_home,other,mother,0,no,no,yes,no,yes,3
GP,F,17,U,T,4,2,other,other,father,0,no,no,no,yes,yes,4
GP,F,16,U,A,4,4,services,other,father,0,no,no,no,yes,yes,1
GP,M,15,R,T,4,4,at_home,teacher,mother,0,no,no,no,yes,yes,3
GP,F,15,U,T,4,4,services,at_home,mother,0,no,no,yes,yes,yes,3
GP,M,17,R,T,4,4,at_home,other,mother,0,no,no,no,yes,yes,5
GP,F,16,U,A,4,3,other,other,other,2,no,no,yes,no,yes,2
GP,M,16,U,T,4,1,services,other,mother,1,no,no,no,yes,yes,4
GP,F,15,U,T,4,4,teacher,teacher,mother,0,no,no,yes,yes,yes,2
GP,M,15,U,T,4,3,teacher,services,father,0,yes,no,no,yes,yes,2
GP,M,16,U,T,4,2,services,services,father,2,no,no,yes,yes,yes,3
GP,F,15,U,T,4,4,teacher,services,mother,0,no,yes,yes,yes,yes,2
GP,F,16,U,T,4,1,at_home,at_home,mother,0,no,no,no,yes,yes,4
GP,M,17,U,T,4,1,other,other,mother,3,no,no,no,yes,yes,5
GP,F,15,U,T,4,1,other,services,father,0,no,yes,no,yes,yes,2
GP,F,15,U,T,4,2,health,services,father,3,no,no,no,yes,yes,2
GP,F,15,U,T,4,2,at_home,other,mother,0,no,yes,no,no,yes,2
GP,M,16,U,T,4,4,teacher,teacher,mother,0,no,no,no,yes,no,2
GP,M,15,U,A,4,1,services,other,mother,3,no,no,no,yes,yes,5
GP,M,18,U,T,4,1,other,other,mother,3,no,no,no,yes,no,5
GP,M,16,U,T,4,1,at_home,other,mother,1,no,no,yes,yes,yes,4
GP,F,15,R,T,4,3,services,services,other,2,no,yes,yes,yes,yes,1
GP,M,19,U,T,4,2,services,at_home,mother,3,no,no,no,yes,no,4
GP,F,17,U,T,4,4,other,teacher,mother,0,yes,no,no,yes,yes,1
GP,M,15,R,T,4,3,at_home,services,mother,0,yes,yes,yes,yes,yes,4
GP,M,17,R,T,4,2,other,other,mother,0,no,no,no,yes,yes,2
GP,F,18,R,T,4,1,at_home,other,mother,3,no,no,yes,no,yes,5
GP,M,16,R,T,4,2,at_home,other,mother,0,no,no,no,no,yes,2
GP,M,16,U,T,4,3,other,services,father,1,no,yes,no,yes,yes,5
GP,M,17,R,T,4,1,at_home,other,mother,2,no,no,yes,yes,no,2
GP,M,15,R,T,4,2,other,other,mother,2,yes,no,no,yes,yes,4
GP,M,16,U,T,4,2,other,other,mother,1,no,no,yes,yes,yes,4
GP,M,17,U,T,4,3,at_home,services,father,0,no,no,no,yes,no,3
GP,M,17,R,T,4,1,other,services,mother,3,no,no,yes,yes,no,5
GP,M,16,U,T,4,2,services,services,mother,1,no,no,yes,no,no,2
GP,M,16,U,T,4,2,other,other,father,0,no,no,no,yes,no,5
GP,F,16,U,T,4,2,health,services,father,0,no,yes,no,yes,yes,3
GP,F,16,U,T,4,2,other,other,mother,0,no,yes,no,no,yes,5
GP,F,16,U,T,4,4,health,health,mother,0,no,yes,no,yes,yes,2
GP,M,16,U,T,4,4,other,other,father,2,no,no,yes,no,yes,5
GP,M,16,U,T,4,0,other,other,mother,0,no,yes,yes,yes,yes,2
GP,M,17,U,T,4,4,teacher,other,mother,0,no,yes,yes,yes,yes,4
GP,F,16,U,T,4,3,at_home,services,mother,3,no,no,yes,no,yes,5
GP,F,16,U,T,4,3,other,other,mother,0,no,yes,yes,yes,yes,5
GP,M,17,U,T,4,3,teacher,other,mother,0,no,yes,yes,yes,yes,4
GP,F,16,U,T,4,2,services,other,mother,0,no,yes,yes,no,yes,4
GP,M,17,U,T,4,3,other,other,father,0,no,no,yes,no,yes,4
GP,M,16,R,T,4,2,teacher,services,mother,0,no,no,yes,yes,yes,3
GP,M,17,U,T,4,3,other,other,mother,0,no,no,yes,yes,yes,3
GP,M,16,U,T,4,3,teacher,other,mother,0,no,yes,yes,yes,yes,3
GP,M,16,U,T,4,3,services,other,mother,0,no,yes,yes,yes,yes,3
GP,F,17,U,T,4,4,services,services,father,0,no,no,yes,yes,yes,2
GP,F,17,U,T,4,3,other,other,mother,0,no,no,yes,yes,yes,3
GP,F,16,U,T,4,2,other,other,mother,0,no,yes,no,yes,yes,2
GP,M,17,U,T,4,3,services,services,mother,0,no,no,yes,yes,yes,4
GP,M,16,U,T,4,2,services,services,mother,0,no,yes,yes,yes,yes,3
GP,M,16,U,T,4,1,other,other,mother,0,no,yes,yes,yes,yes,3
GP,F,17,U,A,4,3,health,other,mother,0,no,no,no,no,yes,3
GP,M,17,R,T,4,2,at_home,other,mother,0,no,no,no,yes,yes,3
GP,F,16,U,T,4,3,services,services,mother,0,no,no,no,yes,yes,3
GP,F,17,U,T,4,1,at_home,services,mother,0,no,no,yes,yes,yes,3
GP,M,17,U,T,4,2,at_home,services,other,0,no,yes,yes,no,yes,4
GP,M,16,R,T,4,3,services,services,mother,0,no,no,yes,yes,yes,2
GP,M,16,U,T,4,3,other,other,father,0,no,no,no,yes,yes,3
GP,F,17,U,T,4,4,services,services,father,0,no,no,yes,yes,yes,2
GP,M,17,U,T,4,4,services,teacher,mother,0,no,no,no,yes,yes,3
GP,M,16,R,T,4,3,teacher,other,father,0,no,yes,yes,yes,yes,4
GP,F,17,U,T,4,4,services,teacher,mother,1,no,no,no,yes,yes,4
GP,F,16,U,T,4,4,teacher,teacher,mother,0,no,yes,no,yes,yes,2
GP,F,16,U,T,4,3,health,other,mother,0,no,no,yes,yes,yes,5
GP,F,16,U,T,4,3,other,other,mother,0,yes,yes,yes,yes,yes,3
GP,F,17,U,T,4,1,other,other,mother,0,no,yes,no,no,yes,4
GP,F,17,R,T,4,2,other,other,mother,0,no,no,no,yes,yes,2
GP,F,16,R,T,4,2,services,services,mother,0,no,yes,yes,no,yes,5
GP,F,17,U,T,4,4,at_home,services,mother,1,no,yes,no,yes,yes,3
GP,F,16,U,A,4,1,services,other,mother,3,no,yes,no,yes,yes,3
GP,F,16,U,T,4,3,teacher,other,mother,0,no,yes,yes,yes,yes,2
GP,F,16,U,T,4,1,at_home,other,mother,0,no,yes,no,yes,yes,2
GP,F,17,R,T,4,3,teacher,other,mother,0,no,yes,yes,yes,yes,2
GP,F,19,U,T,4,3,other,other,other,0,no,yes,yes,yes,yes,3
GP,M,17,U,T,4,4,services,other,mother,0,no,yes,no,yes,yes,5
GP,F,16,U,A,4,2,other,other,mother,0,yes,yes,no,yes,yes,4
GP,M,18,U,T,4,2,services,other,mother,1,no,yes,yes,yes,yes,4
GP,F,17,R,T,4,4,services,other,mother,0,no,yes,no,yes,yes,1
GP,F,17,U,T,4,2,other,other,mother,0,no,yes,no,yes,yes,4
GP,F,17,U,T,4,3,other,other,mother,2,no,yes,no,yes,yes,5
GP,M,18,U,T,4,3,services,health,father,1,no,yes,no,yes,yes,4
GP,F,17,U,T,4,3,at_home,other,father,0,no,yes,no,yes,yes,3
GP,F,17,U,T,4,2,at_home,at_home,mother,0,no,yes,yes,yes,yes,3
GP,F,17,R,T,4,1,at_home,services,mother,0,no,no,yes,yes,yes,5
GP,F,17,U,T,4,1,at_home,other,mother,1,no,no,yes,yes,yes,4
GP,F,16,U,T,4,3,services,teacher,mother,0,yes,no,no,yes,yes,1
GP,M,18,U,T,4,2,other,other,mother,0,no,yes,no,yes,yes,3
GP,F,16,U,T,4,4,teacher,services,mother,0,no,no,yes,no,yes,2
GP,F,18,R,T,4,1,other,other,mother,1,no,no,yes,yes,yes,3
GP,F,17,U,T,4,2,other,other,mother,0,no,no,yes,no,yes,4
GP,M,17,U,T,4,3,services,services,father,0,no,yes,no,no,yes,3
GP,M,18,U,T,4,1,at_home,other,mother,0,yes,yes,yes,yes,yes,2
GP,F,17,U,A,4,1,other,other,mother,0,no,no,yes,yes,yes,3
GP,F,17,U,T,4,3,health,other,father,0,no,no,yes,yes,yes,3
GP,M,17,R,T,4,2,other,other,father,0,no,yes,yes,yes,yes,2
GP,M,17,U,T,4,4,teacher,teacher,mother,0,yes,no,yes,yes,yes,5
GP,M,16,U,T,4,4,health,other,father,0,no,yes,yes,yes,yes,4
GP,M,16,U,T,4,1,other,other,mother,0,no,yes,no,yes,yes,2
GP,M,16,U,T,4,2,at_home,other,mother,0,no,no,yes,yes,yes,3
GP,M,17,U,T,4,2,other,other,father,0,no,yes,yes,no,yes,2
GP,F,16,U,T,4,1,other,other,mother,0,no,no,no,yes,yes,2
GP,F,17,R,T,4,1,at_home,services,mother,0,no,no,yes,yes,yes,1
GP,M,18,U,T,4,2,other,services,father,1,no,no,no,yes,no,4
GP,M,17,U,T,4,3,health,other,mother,0,no,no,yes,yes,yes,5
GP,M,17,R,A,4,4,teacher,other,mother,0,no,yes,no,yes,yes,3
GP,M,16,U,T,4,3,teacher,other,mother,0,no,no,yes,no,yes,5
GP,M,16,U,T,4,4,services,services,mother,0,no,no,yes,yes,yes,2
GP,F,18,U,T,4,1,other,other,other,0,no,yes,no,no,yes,4
GP,M,16,U,T,4,1,other,other,mother,0,no,no,no,yes,yes,3
GP,M,17,U,T,4,3,other,other,father,0,no,no,no,yes,yes,2
GP,M,22,U,T,4,1,services,services,mother,3,no,no,no,no,no,5
GP,M,18,R,T,4,3,other,services,mother,1,no,no,no,yes,yes,3
GP,M,16,U,T,4,2,other,other,mother,0,no,yes,no,no,yes,2
GP,M,18,U,T,4,2,services,other,mother,1,no,no,no,yes,no,5
GP,M,16,U,T,4,3,at_home,other,other,0,yes,no,no,no,yes,3
GP,M,18,U,T,4,1,services,services,mother,1,no,no,no,no,no,5
GP,M,16,R,T,4,1,other,other,mother,0,no,no,yes,no,yes,2
GP,M,17,R,T,4,1,other,other,mother,0,no,no,no,no,yes,2
GP,M,17,U,T,4,1,health,other,mother,1,no,no,yes,yes,yes,4
GP,F,17,U,T,4,2,teacher,services,mother,0,no,yes,yes,yes,yes,3
GP,M,19,U,A,4,3,services,at_home,mother,0,no,no,no,yes,yes,1
GP,M,18,U,T,4,1,other,other,mother,0,no,no,yes,yes,yes,4
GP,F,17,U,T,4,2,services,services,father,0,no,yes,yes,yes,yes,1
GP,F,18,U,T,4,3,services,other,father,0,no,yes,no,yes,yes,2
GP,M,18,U,T,4,3,teacher,other,mother,0,no,yes,no,no,yes,2
GP,M,18,R,T,4,2,other,other,mother,0,no,no,yes,no,yes,2
GP,F,17,U,T,4,3,other,other,mother,0,no,no,yes,no,yes,3
GP,F,18,U,T,4,2,at_home,services,mother,0,no,yes,yes,yes,yes,3
GP,M,18,R,A,4,4,other,other,mother,0,no,yes,yes,yes,yes,5
GP,M,17,U,T,4,1,services,other,mother,0,no,yes,yes,yes,yes,4
GP,F,18,R,T,4,4,teacher,other,mother,0,no,yes,yes,yes,yes,4
GP,M,18,U,T,4,2,health,other,father,0,no,yes,yes,yes,yes,5
GP,F,18,R,T,4,1,other,other,mother,0,no,no,no,yes,no,5
GP,F,19,U,T,4,3,other,services,other,2,no,yes,yes,yes,yes,5
GP,F,18,U,T,4,3,other,services,father,0,no,yes,yes,yes,yes,5
GP,F,18,U,T,4,1,other,other,mother,0,no,yes,no,no,yes,3
GP,M,17,R,T,4,2,at_home,at_home,mother,0,no,yes,yes,no,yes,2
GP,F,17,U,T,4,4,at_home,health,mother,0,no,yes,no,yes,yes,3
GP,F,17,U,T,4,2,services,other,mother,0,yes,yes,no,yes,yes,4
GP,F,18,R,A,4,2,other,services,mother,0,no,no,no,no,no,1
GP,M,18,U,T,4,4,teacher,services,mother,0,no,yes,yes,yes,yes,4
GP,F,18,U,T,4,4,health,health,father,1,yes,no,yes,yes,yes,4
GP,M,18,U,T,4,3,teacher,services,mother,0,no,yes,yes,yes,yes,3
GP,M,17,U,A,4,1,services,other,mother,0,no,yes,yes,yes,yes,4
GP,M,17,U,A,4,2,teacher,services,mother,1,no,no,no,yes,yes,4
GP,F,18,R,T,4,1,at_home,other,mother,0,no,yes,yes,yes,yes,2
GP,F,18,U,T,4,1,other,other,mother,0,yes,no,yes,yes,yes,4
GP,F,17,U,T,4,2,other,other,mother,0,no,no,no,no,yes,5
GP,M,17,U,T,4,1,other,other,father,0,no,yes,no,no,yes,3
GP,F,18,U,T,4,2,at_home,at_home,mother,0,no,yes,no,yes,yes,3
GP,F,17,U,T,4,1,services,teacher,mother,0,no,yes,no,yes,yes,3
GP,M,18,U,T,4,1,services,services,mother,0,no,yes,yes,yes,yes,4
GP,M,18,U,A,4,4,teacher,teacher,mother,0,no,yes,yes,yes,yes,3
GP,M,18,U,T,4,2,teacher,other,mother,0,no,yes,yes,yes,yes,2
GP,F,17,U,T,4,3,health,services,mother,0,no,yes,no,yes,yes,2
GP,F,18,U,T,4,1,services,at_home,mother,1,no,no,no,yes,yes,3
GP,F,17,R,T,4,1,services,other,mother,0,no,yes,no,yes,yes,2
GP,M,18,R,T,4,2,services,other,mother,0,no,yes,yes,yes,yes,2
GP,M,17,U,T,4,3,health,other,mother,0,no,yes,no,yes,yes,3
GP,F,19,U,T,4,4,health,other,other,0,no,yes,yes,yes,yes,4
GP,F,18,U,T,4,3,other,other,other,0,no,yes,no,yes,yes,5
GP,F,18,U,T,4,3,other,other,father,0,no,yes,no,yes,yes,3
GP,M,18,U,T,4,4,teacher,teacher,mother,0,no,yes,no,yes,yes,2
GP,F,18,U,A,4,4,health,other,mother,0,no,no,no,yes,yes,4
GP,M,17,U,T,4,4,other,teacher,father,0,no,yes,no,yes,yes,1
GP,F,17,U,T,4,2,other,other,mother,0,no,yes,no,yes,yes,3
GP,F,17,U,T,4,2,health,health,father,0,no,yes,yes,no,yes,2
GP,M,19,U,T,4,3,other,other,other,1,no,no,yes,yes,yes,4
GP,F,18,U,T,4,4,services,at_home,other,1,no,yes,yes,yes,yes,3
GP,M,20,U,A,4,2,services,other,other,0,no,no,yes,yes,yes,3
GP,M,19,U,T,4,4,teacher,services,other,1,no,yes,no,yes,yes,4
GP,M,19,R,T,4,3,other,services,father,1,no,no,yes,yes,yes,3
GP,F,19,U,T,4,1,at_home,other,other,1,yes,no,yes,no,yes,3
GP,F,19,U,T,4,2,services,services,other,1,no,no,yes,no,yes,4
GP,F,19,U,T,4,1,at_home,other,other,0,no,no,no,yes,no,1
GP,M,19,U,T,4,2,other,services,other,1,no,no,no,no,yes,2
GP,F,19,U,T,4,2,services,other,other,1,no,yes,no,no,yes,2
GP,F,19,U,T,4,1,at_home,health,other,2,no,no,no,no,yes,2
GP,F,19,R,T,4,3,other,other,other,1,no,no,no,yes,yes,2
GP,F,18,U,T,4,1,services,other,mother,0,no,yes,yes,yes,yes,3
GP,F,18,U,T,4,3,other,other,mother,0,no,yes,yes,yes,yes,4
GP,F,17,R,T,4,4,at_home,services,father,0,no,yes,yes,no,yes,4
GP,F,18,U,T,4,4,teacher,other,mother,0,no,yes,no,yes,yes,4
GP,F,17,U,A,4,3,services,services,mother,0,no,yes,no,yes,yes,2
GP,F,17,U,T,4,2,other,other,mother,0,no,no,no,yes,yes,2
GP,F,17,R,T,4,2,services,services,mother,0,no,yes,yes,yes,yes,2
GP,F,17,U,T,4,1,services,services,father,0,no,no,no,no,yes,3
GP,F,17,U,T,4,2,at_home,at_home,father,0,no,no,no,yes,yes,3
GP,M,18,U,T,4,4,other,other,mother,0,no,no,yes,yes,yes,3
GP,M,17,U,T,4,3,other,services,mother,0,no,no,yes,no,yes,5
GP,M,17,R,T,4,2,services,other,mother,0,no,no,no,yes,yes,5
GP,F,17,U,T,4,4,teacher,services,mother,0,no,yes,yes,yes,yes,4
GP,F,17,U,T,4,4,teacher,teacher,mother,0,no,yes,no,no,yes,3
GP,M,18,U,T,4,2,other,other,mother,0,no,no,yes,yes,yes,5
GP,F,17,R,T,4,4,at_home,other,father,0,no,no,no,yes,yes,3
GP,F,18,U,T,4,3,services,services,mother,0,no,no,yes,yes,yes,4
GP,F,18,U,T,4,2,other,other,other,0,no,no,yes,no,yes,3
GP,F,18,R,T,4,2,at_home,other,mother,0,no,no,yes,yes,yes,4
GP,F,17,U,T,4,4,services,other,mother,0,no,no,no,yes,yes,5
GP,F,19,R,A,4,1,services,at_home,other,1,no,yes,no,yes,yes,3
GP,F,17,U,T,4,2,other,other,mother,0,no,yes,no,yes,yes,2
GP,F,18,U,T,4,3,services,services,mother,0,no,no,no,yes,yes,3
GP,F,17,R,A,4,2,other,other,mother,0,no,yes,no,yes,yes,3
GP,F,19,U,T,4,1,services,services,other,1,no,yes,yes,yes,yes,4
GP,M,18,U,T,4,4,teacher,services,father,1,no,no,yes,yes,yes,3
GP,M,18,U,T,4,4,services,other,mother,0,no,no,yes,yes,yes,3
GP,F,17,U,A,4,2,at_home,at_home,father,1,no,no,no,yes,yes,1
GP,F,18,U,T,4,3,at_home,other,mother,0,no,no,no,yes,yes,3
GP,F,18,U,T,4,2,other,services,mother,0,no,no,no,yes,yes,3
GP,M,18,R,T,4,3,teacher,services,mother,0,no,no,no,yes,yes,2
GP,M,18,U,T,4,3,teacher,other,mother,0,no,yes,no,yes,yes,5
GP,F,17,U,T,4,3,health,other,mother,0,no,yes,yes,yes,yes,3
MS,M,18,R,T,4,2,other,other,mother,1,no,no,no,no,yes,5
MS,M,19,R,T,4,1,other,services,other,3,no,no,no,yes,yes,4
MS,M,17,U,T,4,3,health,other,mother,0,no,yes,no,yes,yes,4
